,location,topics,author,title
307,Christian Living,Christian Living,Michael W. Smith,It's Time to be Bold
308,Biography,Biography,"dc Talk, The Voice of the Martyrs",Jesus Freaks:  Stories of Those Who Stood for Jesus - The Ultimate Jesus Freaks
309,Christian Living,Christian Living,Calvin Miller,Jesus Loves Me: Celebrating the Profound Truths of a Simple Hymn
310,Evangelism,Evangelism,Don Everts,Jesus with Dirty Feet: A Down-to-Earth Look at Christianity for the Curious & Skeptical
311,Christian Living,Christian Living,Beth Moore,"Jesus, the One and Only"
312,Worship ,Worship ,Judson Cornwall,Jesus... a Living Example of Worship: A Living Example of Worship
313,Biography,Biography,Joni Eareckson Tada,Joni: An Unforgettable Story
314,Reference,Reference,Josephus,Josephus: The Complete Works
315,Christian Living,Christian Living,Gary Smalley,Joy That Lasts
316,Christian Living,Christian Living,Stephen W. Brown,Jumping Hurdles: Illustrations of the Simple & Profound Ways God Delivers Hope
317,Compassion/Social Justice,Compassion/Social Justice,Gary A. Haugen,Just Courage: God's Great Expedition for the Restless Christian
318,Christian Living,Christian Living,Anne Graham Lotz,Just Give Me Jesus
319,Evangelism,Evangelism,Bill Hybels,Just Walk Across the Room: Simple Steps Pointing People to Faith
320,Devotionals,"Christian Living, Devotionals","Elizabeth Elliot, Elisabeth Elliot",Keep a Quiet Heart
321,Missions,Missions,Miriam Adeney,Kingdom Without Borders: The Untold Story of Global Christianity
322,Compassion/Social Justice,"Compassion/Social Justice, Missions",Katie J. Davis,Kisses from Katie: A Story of Relentless Love and Redemption
323,Apologetics,"Apologetics, Evangelism","Paul E. Little, Marie Little",Know What You Believe
324,Reference,Reference,Unknown,Know Your Bible: All 66 Books Explained
325,Christian Living,Christian Living,M. Blaine Smith,Knowing God's Will: Biblical Principles of Guidance
326,Christian Living,Christian Living,Charles R. Swindoll,Laugh Again
327,Ministry,Ministry,C. Peter Wagner,Leading Your Church to Growth
328,Ministry,"Ministry, Prayer","Michael Evans, Wholeness Ministries",Learning to Do What Jesus Did
329,Christian Living,Christian Living,Charlie Riggs,Learning to Walk with God: Twelve Steps to Christian Growth
330,Compassion/Social Justice,Compassion/Social Justice,Kent A. Van Til,Less Than Two Dollars a Day: A Christian View of World Poverty and the Free Market
331,Missions,Missions,John Piper,Let the Nations Be Glad!: The Supremacy of God in Missions
332,Personal Growth,"Christian Living, Personal Growth",Parker J.  Palmer,Let Your Life Speak: Listening for the Voice of Vocation
333,Apologetics,Apologetics,"Dr. Gregory A. Boyd, Edward K. Boyd",Letters from a Skeptic: A Son Wrestles with His Father's Questions about Christianity
334,Prayer ,Prayer,C.S. Lewis,Letters to Malcolm: Chiefly on Prayer
335,Christian Living,Christian Living,Henri J. M. Nouwen,Letters to Marc About Jesus: Living a Spiritual Life in a Material World
336,Culture,Culture,Charles Colson,Lies That Go Unchallenged in Popular Culture
337,Women's,Women's,Nancy Leigh DeMoss,Lies Women Believe: And the Truth that Sets Them Free
338,Christian Living,Christian Living,Henri J. M. Nouwen,Life of the Beloved: Spiritual Living in a Secular World
339,Biography,Biography,Nick Vujicic,Life Without Limits: Inspiration for a Ridiculously Good Life
340,Women's,Women's,Luci Swindoll,"Life! Celebrate It: Listen, Learn, Laugh, Love"
341,Work/Money,Work/Money,Thomas Nelson,Life@Work: Marketplace Success for People of Faith
342,Missions,Missions,"Brother Andrew, Allan Janssen",Light Force: A Stirring Account of the Church Caught in the Middle East Crossfire
343,Christian Living,Christian Living,Catherine Marshall,Light in My Darkest Night
344,Compassion/Social Justice,Compassion/Social Justice,"Ronald J. Sider, John M. Perkins, Wayne L. Gordon, F. Albert Tizon","Linking Arms, Linking Lives: How Urban-Suburban Partnerships Can Transform Communities"
345,Devotionals,Devotionals,Frederick Buechner,Listening to Your Life: Daily Meditations with Frederick Buechner
346,Personal Growth,Personal Growth,Suzanne Dale Ezell,Living Again In God's Abundance Strength And Comfort When Your Journey Takes An Unexpected Turn
347,Women's,Women's,Sheila Walsh,Living Fearlessly
348,Christian Living,Christian Living,Maxie D. Dunnam; Steve G. W. Moore,Living Life on Purpose: The Joy of Discovering and Following God's Call
349,Christian Living,Christian Living,"Tom Sine, Christine Sine",Living on Purpose: Finding God's Best for Your Life
350,Christian Living,Christian Living,Charles R. Swindoll,Living on the Ragged Edge
351,Men's,Men's,Stu Weber,"Locking Arms: Shoulder to Shoulder, Man to Man...God's Design for Masculine Friendships"
352,Marriage,"Marriage, Prayer",Larry Keefauver,Lord I Wish My Husband Would Pray with Me: Breaking down the spiritual walls between you and your husband
353,Christian Living,Christian Living,Kay Arthur,"Lord, Give Me a Heart for You: A Devotional Study on Having a Passion for God"
354,Personal Growth,Personal Growth,Kay Arthur,"Lord, Heal My Hurts"
355,Christian Living,"Christian Living, Personal Growth",Kay Arthur,"Lord, Is It Warfare? Teach Me to Stand: A Devotional Study on Spiritual Victory"
356,Missions,Missions,"Edward E; Cummings, Barabara; Fry, Marion Danielson","Lord, Send Me a Handbook for Single Missionaries"
357,Marriage ,Marriage,"John Eldredge, Stasi Eldredge",Love and War: Find Your Way to Something Beautiful in Your Marriage
358,Marriage,Marriage,John Trent,Love for All Seasons: Eight Ways to Nuture Intimacy
359,Marriage,Marriage,"Ed Wheat, Gloria Okes Perkins","Love Life for Every Married Couple: How to Fall in Love, Stay in Love, Rekindle Your Love"
360,Family,Family,James C. Dobson,Love Must Be Tough
361,Marriage ,Marriage,Les and Leslie Parrott,Love Talk: Speak Each Other's Language Like You Never Have Before
362,Ministry,Ministry,"Jerry Cook, Stanley C. Baldwin","Love, Acceptance and Forgiveness: Equipping the Church to Be Truly Christian in a Non-Christian World"
363,Women's, Women's,Elizabeth George,Loving God with All Your Mind
364,Christian Living,Christian Living,Charles Colson,Loving God: New Edition with  Study Guide
365,Women's,Women's,"Lindsey Clifford, Joy Barnett",Make A Difference: Mentoring Woman to Woman
366,Christian Living,Christian Living,Henri J. M. Nouwen,Making All Things New: An Invitation to the Spiritual Life
367,Christian Living,Christian Living,Bill Hybels,Making Life Work: Putting God's Wisdom into Action
368,Marriage,Marriage,Dr. Gary Smalley,Making Love Last Forever
369,Personal Growth,Personal Growth,Rita Bennett,Making Peace With Your Inner Child
370,Family,Family,Randy Frazee,Making Room for Life: Trading Chaotic Lifestyles for Connected Relationships
371,Reference,Reference,Philip Barton Payne,"Man and Woman, One in Christ: An Exegetical and Theological Study of Paul's Letters"
372,Men's,"Christian Living, Men's",Charles R. Swindoll,Man to Man
373,Marriage ,Marriage,"Stuart D. Briscoe, Jill Briscoe",Marriage Matters!: Growing Through the Differences and Surprises of Life Together
374,Christian Living,Christian Living,"Martin Luther, John Dillenberger",Martin Luther : Selections From His Writings
375,Work/Money,Work/Money,Ron Blue,Master Your Money: A Step-By-Step Plan for Financial Freedom
376,Missions,Missions,"Roger Peterson, Gordon Aeschliman, R. Wayne Sneed","Maximum Impact Short-Term Mission: The God-Commanded Repetitive Deplayment of Swift, Temporary Non-Professional Missionaries"
377,Christian Living,Christian Living,Catherine Marshall,Meeting God at Every Turn: A Personal Family History
378,Marriage,Marriage,Chuck Snyder,Men: Some Assembly Required
379,Men's,Men's,"Gary Smalley, Greg Smalley, Michael Smalley",Men's Relational Toolbox
380,Christian Living,Christian Living,C. S. Lewis,Mere Christianity
381,Prayer ,Prayer,Wesley L. Duewel,Mighty Prevailing Prayer
382,Missions,Missions,"Sherwood G. Lingenfelter, Marvin K. Mayers",Ministering Cross-Culturally: An Incarnational Model for Personal Relationships
383,Family,Family,Sally Leman Chall,Mommy Appleseed: Planting Seeds of Faith in the Heart of Your Child
384,Familly,"Work/Money, Family","Ron Blue, Judy Blue",Money Matters for Parents and Their Kids
385,Commentary,"Commentary, Apologetics",Walter C. Kaiser Jr.,More Hard Sayings of the Old Testament
386,Ministry,Ministry,Wayne Rice,More Hot Illustrations for Youth Talks
387,Apologetics,Apologetics,Josh McDowell,More Than a Carpenter
388,Women's,Women's,"Asifa Dean, Christie Heller de Leon, Kathy Khang, Nikki A. Toyama, Tracey Gee, Jeanette Yep","More Than Serving Tea: Asian American Women on Expectations, Relationships, Leadership and Faith"
389,Missions,Missions,Jr. J. Christy Wilson,More to be Desired than Gold: A Collection of True Stories told by Christy Wilson
390,Devotionals,Devotionals,Charles Haddon Spurgeon,Morning by Morning
391,Biography,Biography,Joyce Bhang,Mother Teacher
392,Family,Family,"Jean Lush, Pamela Vredevelt",Mothers and Sons
393,Men's,Men's,"R. C. Sproul, Leighton Ford, Chuck Colson",Moving Beyond Belief: A Strategy for Personal Growth/a Guide for Men/Practicing the Presence of Christ in Your Daily Life
394,Christian Living,Christian Living,Mike Flynn,Mustard Seed Book
395,Biography,Biography,"Tracey D. Lawrence, Eric Irivuzumugabe","My Father, Maker of the Trees: How I Survived the Rwandan Genocide"
396,Christian Living,Christian Living,Anne Graham Lotz,My Heart's Cry
397,Devotionals,Devotionals,Oswald Chambers,My Utmost for His Highest - Deluxe
398,Reference,Reference,Orville Nave,Nave's Topical Bible
399,Missions,Missions,K. P. Yohannan,No Longer a Slumdog
400,Christian Living,Christian Living,Thomas Merton,No Man Is an Island
401,Men's,Men's,Tony Evans,No More Excuses
402,Missions,Missions,George Verwer,No Turning Back
403,Christian Living,Christian Living,Max Lucado,No Wonder They Call Him the Savior: Discover Hope In The Unlikeliest Place
404,Apologetics,Apologetics,R. C. Sproul,Not a Chance: The Myth of Chance in Modern Science and Cosmology
405,Christian Living,Christian Living,Kyle Idleman,Not a Fan
406,Culture,"Christian Living, culture",R. C. Sproul,"Now, That's a Good Question!"
407,Missions,Missions,C. Peter Wagner,On the Crest of the Wave: Becoming a World Christian
408,Christian Living,Christian Living,Scot McKnight,"One.Life: Jesus Calls, We Follow"
409,Personal Growth,Personal Growth,Ed Bulkley,Only God Can Heal the Wounded Heart
410,Ministry,Ministry,Karen Burton Mains,"Open Heart, Open Home: How to Find Joy Through Sharing Your Home with Others"
411,Commentary,Commentary,"Philip W. Comfort, Wendell C. Hawley",Opening the Gospel of John
412,Missions,Missions,"Patrick Johnstone, Jason Mandryk","Operation World - 21st Century Edition, Updated and Revised Edition"
413,Christian Living,Christian Living,Gordon MacDonald,Ordering Your Private World
414,Biography,Biography,"Christopher Yuan, Angela Yuan",Out of a Far Country: A Gay Son's Journey to God. A Broken Mother's Search for Hope.
415,Evangelism,Evangelism,Rebecca Manley Pippert,Out of the Saltshaker & into the World: Evangelism as a Way of Life
416,Personal Growth,Personal Growth,Peter Wilkes,"Overcoming Anger & Other Dragons of the Soul: Shaking Loose from Persistent Sins, With Study Questions for Individuals or Groups"
417,Reference,Reference,John May,Oxford Bible Atlas
418,Family,Family,Lynda Hunter,Parenting on Your Own
419,Family,Family,David Veerman,Parenting Passages
420,Family,Family,"Dennis Rainey, Barbara Rainey",Parenting Today's Adolescent Helping Your Child Avoid The Traps Of The Preteen And Teen Years
421,Family,Family,John White,Parents in Pain : Overcoming the Hurt and Frustration of Problem Children
422,Family,Family,"John Trent, Kurt Bruner, Rick Osborne",Parents' Guide to the Spiritual Growth of Children
423,Family,Family,"Jim Weidmann, Joe White",Parents' Guide to the Spiritual Mentoring of Teens
424,Prayer,Prayer,John C. Maxwell,Partners in Prayer
425,Men's,Men's,Rick Bundschuh,Passed thru Fire: Bringing Boys into Meaningful Manhood
426,Marriage,Marriage,Elisabeth Elliot,Passion and Purity: Learning to Bring Your Love Life Under Christ's Control
427,Christian Living,Christian Living,Billy Graham,Peace With God
428,Family,Family,Ken Sande,Peacemaking for Families
429,Missions,Missions,Ralph D. Winter,Perspectives on the World Christian Movement : A Reader
430,Prayer,Prayer,E. M. Bounds,Power through Prayer
431,Prayer,Prayer,Richard J. Foster,Prayer: Finding the Heart's True Home
432,Grief,"Grief, prayer",Jill Kelly,Prayers for Those Who Grieve
433,Prayer,Prayer,Beth Moore,Praying God's Word: Breaking Free from Spiritual Strongholds
434,Family,"Family, Prayer","Heather Kopp, David Kopp",Praying the Bible for Your Children
435,Prayer,Prayer,Ann Spangler,Praying the Names of God: A Daily Guide
436,Family,Family,James Dobson,Preparing for Adolescence
437,Men,"Men, Family","Stephen Arterburn, Fred Stoeker, Mike Yorkey",Preparing Your Son for Every Man's Battle: Honest Conversations About Sexual Integrity
438,Ministry,Ministry,"Michael Todd Wilson, Brad Hoffmann","Preventing Ministry Failure: A ShepherdCare Guide for Pastors, Ministers and Other Caregivers"
439,Ministry,Ministry,Ted Haggard,Primary Purpose: Making it hard for people to go to hell from your city
440,Biography,Biography,"Dayna Curry, Heather Mercer, Stacy Mattingly",Prisoners of Hope: The Story of Our Captivity and Freedom in Afghanistan
441,Christian Living,Christian Living,Brennan Manning,Prophets & Lovers: In Search of the Holy Spirit
442,Reference,Reference,Bernard L. Ramm,Protestant Biblical Interpretation; A Textbook of Hermeneutics
443,Prayer,Prayer,E.M. Bounds,Purpose In Prayer
444,Marriage,Marriage,Elisabeth Elliot,Quest for Love: True Stories of Passion and Purity
445,Apologetics,Apologetics,Nicky Gumbel,Questions of Life: Alpha Course
446,Biography,Biography,"Beth Nimmo, Darrell Scott, Steve Rabey",Rachel's Tears: The Spiritual Journey of Columbine Martyr Rachel Scott
447,Christian Living,Christian Living ,David Platt,Radical: Taking Back Your Faith from the American Dream
448,Christian Living,Christian Living,David Platt,Radical Together: Unleashing the People of God for the Purpose of God
449,Christian Living,Christian Living,Leanne Payne,Real Presence: The Christian Worldview of C. S. Lewis as Incarnational Reality
450,Worship ,Worship ,Warren W. Wiersbe,"Real Worship: Playground, Battleground, or Holy Ground?"
451,Ministry,Ministry,"Jim Putman, Bill Krause, Avery Willis, Brandon Guindon",Real-Life Discipleship Training Manual: Equipping Disciples Who Make Disciples
452,Ministry,Ministry,Joel Comiskey,Reap the Harvest: How a Small-Group System Can Grow Your Church
453,Apologetics,Apologetics,"Josh McDowell, Don Stewart",Reasons Why Skeptics Ought to Consider Christianity
454,Christian Living,Christian Living,Gordon MacDonald,Rebuilding Your Broken World
455,Compassion/Social Justice,Compassion/Social Justice,Tom Davis,Red Letters: Living a Faith That Bleeds
456,Ministry,Ministry,Bill & Lynne Hybels,Rediscovering Church: The Story and Vision of Willow Creek Community Church
457,Grief,"Grief, marriage, ",H. Norman Wright,Reflections of a Grieving Spouse: The Unexpected Journey from Loss to Renewed Hope
458,Evangelism,Evangelism,Rick Richardson,Reimagining Evangelism: Inviting Friends on a Spiritual Journey
459,Ministry,"Culture, Ministry",Donald E. Miller,Reinventing American Protestantism: Christianity in the New Millennium
460,Personal Growth,"Christian Living, Marriage, Personal Growth","Les Parrott, Leslie Parrott",Relationships: An Open and Honest Guide to Making Bad Relationships Better and Good Relationships Great
461,Devotionals,Devotionals,A. W. Tozer,Renewed Day by Day: A Daily Devotional
462,Christian Living,Christian Living,Gordon MacDonald,Renewing Your Spiritual Passion
463,Christian Living,Christian Living,Dallas Willard,Renovation of the Heart: Putting On the Character of Christ
464,Culture,"Ministry, Culture","Stanley Hauerwas, William H. Willimon",Resident Aliens: A Provocative Christian Assessment of Culture and Ministry for People Who Know that Something is Wrong
465,Missions,Missions,Dr. Timothy M. Warner,Resolving Spiritual Conflicts and Cross-cultural Ministry Workbook
466,Ministry,Ministry,James Emery White,Rethinking the Church: A Challenge to Creative Redesign in an Age of Transition
467,Worship ,Worship ,Ron Owens,Return to Worship: A God-Centered Approach
468,Ministry,"Ministry, youth ",Andrew Root,Revisiting Relational Youth Ministry: From a Strategy of Influence to a Theology of Incarnation
469,Missions,"Ministry, Missions",K.p. Yohannan,Revolution In World Missions
470,Compassion/Social Justice,Compassion/Social Justice,Ronald J. Sider,Rich Christians in an Age of Hunger: Moving from Affluence to Generosity
471,Biography,Biography,Andrew Bonar,Robert Murray M'Cheyne
472,Commentary,Commentary,Dr. J. Vernon McGee,Romans-Chapters 1-8
473,Christian Living,Christian Living,Philip Yancey,Rumors of Another World: What on Earth Are We Missing?
474,Women's,Women's,Annie Chapman,Running on Empty and Looking for the Next Exit: How Smart Women Learn to Cope with Everyday Life
475,Biography,Biography,"Ron Hall, Denver Moore","Same Kind of Different As Me: A Modern-Day Slave, an International Art Dealer, and the Unlikely Woman Who Bound Them Together"
476,Marriage,Marriage,"Leslie Parrott, Les Parrott III",Saving Your Marriage Before It Starts: Seven Questions to Ask Before (and After) You Marry
477,Ministry,Ministry,Neil Cole,Search & Rescue: Becoming a Disciple Who Makes a Difference
478,Reference,Reference,Alan M. (Editor) Stibbs,Search the Scriptures
479,Christian Living,Christian Living,Chuck Swindoll,Second Wind: A Fresh Run at Life
480,Women's,"Personal Growth, Women's",Carol Kent,Secret Longings of the Heart : A Discussion Guide on Overcoming Deep Disappointment and Unfulfilled Expectations
481,"Christian Living, Grief","Christian Living, Grief",D. L. Moody,Secret Power
482,Personal Growth,Christian Living,"Dave Carder, Earl Henslin, John Townsend, Henry Cloud, Alice Brawand",Secrets of Your Family Tree: Healing for Adult Children of Dysfunctional Families
483,Christian Living,Christian Living,Christopher Coppernoll,Secrets of a Faith Well Lived: Intimate Conversations with Modern-Day Disciples
484,Christian Living,Christian Living,Bruce Wilkinson,Secrets of the Vine: Breaking Through to Abundance
485,Ministry,Ministry,Garry Poole,Seeker Small Groups: Engaging Spiritual Seekers in Life-Changing Discussions
486,Christian Living,Christian Living,Gary L. Thomas,Seeking the Face of God: The Path To A More Intimate Relationship
487,Ministry,Ministry,Ken Blanchard,Servant Leader
488,Men's,Men's,"Bill Bright, Edwin Cole, James Dobson, Tony Evans, Bill McCartney, Luis Palau, Randy Phillips, Gary Smalley, Al Janssen, Larry K. Weeden",Seven Promises of a Promise Keeper
489,Biography,Biography,Elisabeth Elliot,Shadow of the Almighty: The Life and Testament of Jim Elliot
490,Ministry,Ministry,Steven James,Sharable Parables: Creative Storytelling Ideas for Ages 3-12
491,Marriage,Marriage,M. Blaine Smith,Should I Get Married?
492,Ministry,Ministry,Dan Reiland,Shoulder To Shoulder Strengthening Your Church By Supporting Your Pastor
493,Ministry,Ministry,"Sam Rainer, Eric Geiger",Simple Church: Returning to God's Process for Making Disciples
494,Ministry,Ministry,"Tony Morgan, Tim Stevens",Simply Strategic Volunteers:: Empowering People for Ministry
495,Family,Family,Lynda Hunter,Single Moments
496,Marriage,Marriage,Albert Y. Hsu,Singles at the Crossroads: A Fresh Perspective on Christian Singleness
497,Reference,Reference,"William, Jr. Smith","Smith's Bible Dictionary: More Than 6,000 Detailed Definitions, Articles, and Illustrations"
498,Christian Living,Christian Living,Frederick Buechner,Speak What We Feel (Not What We Ought to Say): Reflections on Literature and Faith
499,Ministry,Ministry,J. Oswald Sanders,Spiritual Leadership
500,Biography,Biography,Omer Englebert,St. Francis of Assisi: A Biography
501,Men's,Men's,Steve Farrar,Standing Tall: How a Man Can Protect His Family
502,Ministry,Ministry,Ralph Moore,Starting a New Church: The Church Planter's Guide to Success
503,Women's ,Women's,Elizabeth Prentiss,Stepping Heavenward
504,Missions,Missions,"Moy Hawthorne, Kr",Stepping Out
505,Ministry,Ministry,Wayne Rice,Still More Hot Illustrations for Youth Talks
506,Work/Money,Work/Money,Ron Blue,Storm Shelter: Protecting Your Personal Finances
507,Men's,Men's,James C. Dobson,Straight Talk to Men and Their Wives
508,Personal Growth,Personal Growth,Joyce Meyer,Straight Talk: Overcoming Emotional Battles with the Power of God's Word
509,Devotionals,Devotionals,"Mrs. Charles E. Cowman, Jim Reimann",Streams in the Desert: 366 Daily Devotional Readings
510,Christian Living,Christian Living,Charles R. Swindoll,Strengthening Your Grip
511,Family,Family,Chuck Swindoll,Strong Family - Growing Wise In Family Life
512,Work/Money,"Christian Living, Work/Money",Bob P. Buford,Stuck in Halftime
513,Missions,Missions,Martha Van Cise,Successful Mission Teams: A Guide for Volunteers
514,Christian Living,Christian Living,N. T. Wright,"Surprised by Hope: Rethinking Heaven, the Resurrection, and the Mission of the Church"
515,Biography,Biography,C.S. Lewis,Surprised by Joy: The Shape of My Early Life
516,Reference,Reference,Paul N. N. Benware,Survey of the Old Testament
517,Marriage,Marriage,"Lee Strobel, Leslie Strobel",Surviving a Spiritual Mismatch in Marriage
518,Christian Living,Christian Living,Ben Carson  M.D.,"Take the Risk: Learning to Identify, Choose, and Live with Acceptable Risk"
519,Work/Money,Work/Money,Ron Blue,Taming the Money Monster: 5 Steps to Conquering Debt
520,Family,"Family, Prayer",Rick Osborne,Teaching Your Child How to Pray
521,Personal Growth,Personal Growth,"Marie Chapian, William Backus","Telling Yourself the Truth: Find Your Way Out of Depression, Anxiety, Fear, Anger, and Other Common Problems by Applying the Principles of Misbelief Therapy"
522,Men's,"Family, Men's",Stu Weber,Tender Warrior: God's Intention for a Man
523,Family,Family,Vigen Guroian,Tending the Heart of Virtue: How Classic Stories Awaken a Child's Moral Imagination
524,Compassion/Social Justice,Compassion/Social Justice,"Gary A. Haugen, Gregg Hunter",Terrify No More: Young Girls Held Captive and the Daring Undercover Operation to Win Their Freedom
525,Youth,Youth,Sean Covey,"The 7 Habits of Highly Effective Teens: The Ultimate Teenage Success Guide by Covey, Sean (36th (thirty-sixth) printing Edition) [Paperback(1998)]"
526,Christian Living,Christian Living,C. S. Lewis,The Abolition of Man
527,Worship ,Worship ,Louie Giglio,The Air I Breathe: Worship As a Way of Life
528,Culture,Culture,David T. Olson,"The American Church in Crisis: Groundbreaking Research Based on a National Database of over 200,000 Churches"
529,Reference,Reference,J. B. Lightfoot,The Apostolic Fathers
530,Christian Living,Christian Living,Lewis B. Smedes,The Art of Forgiving
531,Biography,Biography,Jeanne Marie Bouvier De La Motte,The Autobiography of Madame Guyon
532,Christian Living,Christian Living,Erwin Raphael McManus,The Barbarian Way & Soul Cravings - 2 Books in 1 Volume
533,Personal Growth,Personal Growth,Kenneth E. Hagin,The Believer's Authority
534,Christian Living,Christian Living,Beth Moore,The Beloved Disciple: Following John to the Heart of Jesus
535,Family ,Family,Gary Smalley & John Trent,The Blessing
536,Christian Living,Christian Living,Os Guinness,The Call: Finding and Fulfilling the Central Purpose of Your Life
537,Apologetics,Apologetics,Lee Strobel,The Case for a Creator: A Journalist Investigates Scientific Evidence That Points Toward God
538,Apologetics,Apologetics,Lee Strobel,The Case for Christ:  A Journalist's Personal Investigation of the Evidence for Jesus
539,Apologetics,Apologetics,Lee Strobel,The Case for Faith: A Journalist Investigates the Toughest Objections to Christianity
540,Christian Living,Christian Living,Richard J. Foster,"The Challenge of the Disciplined Life: Christian Reflections on Money, Sex, and Power"
541,Marriage,Marriage,"Neil T. Anderson, Charles Mylander",The Christ-Centered Marriage: Discovering and Enjoying Your Freedom in Christ Together
542,Culture,Culture,H. Wayne House,The Christian and American Law: Christianity's Impact on America's Founding Documents and Future Direction
543,Christian Living,Christian Living,Craig Groeschel,The Christian Atheist: Believing in God but Living As If He Doesn't Exist
544,Men's,"Marriage, Men's",Bob Lepine,The Christian Husband: God's Vision for Loving and Caring for Your Wife
545,Christian Living,Christian Living,Hannah Whitall Smith,THE CHRISTIAN'S SECRET OF A HAPPY LIFE
546,Ministry,Ministry,Jim Hayford,The Church Has Left the Building: An Appeal for Church Leaders to Get Back to the Basics
547,Ministry,Ministry,Brian D. McLaren,The Church on the Other Side
548,Culture,"Work/Money, Culture",David Jeremiah,The Coming Economic Armageddon: What Bible Prophecy Warns about the New Global Economy
549,Reference,Reference,Dean Halverson,The Compact Guide To World Religions
550,Christian Living,Christian Living,Bill Hull,The Complete Book of Discipleship: On Being and Making Followers of Christ
551,Work/Money,Work/Money,Robert J. Tamasy,The Complete Christian Businessman
552,Prayer,Prayer,Edward M Bounds,The complete works of E.M. Bounds on prayer
553,Ministry,Ministry,Randy Frazee,The Connecting Church
554,Apologetics,"Apologetics, Culture",Ron Rhodes,The Counterfeit Christ of the New Age Movement
555,Biography,Biography,"David Wilkerson, John Sherill, Elizabeth Sherill",The Cross and the Switchblade
556,Personal Growth,Personal Growth,"Dan B. Allender, Tremper, III Longman",The Cry of the Soul: How Our Emotions Reveal Our Deepest Questions About God
557,Culture,Culture,Dennis McCallum,"The Death of Truth: What's Wrong With Multiculturalism, the Rejection of Reason and the New Postmodern Diversity"
558,Biography,Biography,Rebecca Nichols Alonzo,The Devil in Pew Number Seven
559,Christian Living,Christian Living,Dallas Willard,The Divine Conspiracy: Rediscovering Our Hidden Life In God
560,Christian Living,Christian Living,"Bruce Wilkinson, Heather Kopp",The Dream Giver
561,Christian Living,Christian Living,Peter Scazzero,The Emotional Healthy Church
562,Commentary,Commentary,Mayor Joseph B,The Epistle of St. Jude and the Second epistle of St. Peter
563,Women's,Women's,Martha Peace,The Excellent Wife: A Biblical Perspective
564,Compassion/Social Justice,Compassion/Social Justice,"Millard Fuller, Linda Fuller",The Excitement Is Building: How Habitat for Humanity Is Putting Roofs over Heads and Hope in Hearts
565,Men's,Men's,Stuart Scott,The Exemplary Husband: A Biblical Perspective
566,Biography,Biography,Lisa Whelchel,The Facts of Life: And Other Lessons My Father Taught Me
567,Christian Living,Christian Living,John White,The Fight: A Practical Handbook to Christian Living
568,Women's,"Women's, Work/Money",Mary Hunt,The Financially Confident Woman
569,Christian Living,Christian Living,Charles R. Swindoll,The Finishing Touch: Becoming God's Masterpiece: A Daily Devotional
570,Marriage ,Marriage,Gary Chapman,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate
571,Worship ,Worship ,Jack W Hayford,The foundations of worship
572,Christian Living,Christian Living,C.S. Lewis,The Four Loves
573,Women's,Women's,Dee Brestin,The Friendships of Women
574,Christian Living,Christian Living,Max Lucado,The Gift for All People
575,Biography,Biography,Joni Eareckson Tada,The God I Love: A Lifetime of Walking with Jesus
576,Christian Living,Christian Living,Randy Alcorn,The Grace and Truth Paradox: Responding with Christlike Balance
577,Christian Living,Christian Living,C. S. Lewis,The Great Divorce
578,Women's,Women's,Wayne Holmes,The Heart of a Mother: True Stories of Inspiration and Encouragement
579,Worship ,Worship ,Rory Noland,The Heart of the Artist
580,Worship ,Worship ,Matt Redman,The Heart of Worship Files: Featuring Contributions by Some of Today's Most Experienced Lead Worshippers
581,Biography,Biography,"Brother Yun, Paul Hattaway",The Heavenly Man: The Remarkable True Story of Chinese Christian Brother Yun
582,Biography,Biography,"John Sherrill, Elizabeth Sherrill, Corrie ten Boom",The Hiding Place
583,Compassion/Social Justice,"Christian Living, Compassion/Social Justice",Richard Stearns,The Hole in Our Gospel: What Does God Expect of Us? The Answer That Changed My Life and Might Just Change the World [Paperback]
584,Christian Living,Christian Living ,"Thomas A. A’Kempis, Paul M. Bechtel",The Imitation of Christ
585,Christian Living,Christian Living,J.Oswald Sanders,The Incomparable Christ
586,Christian Living,Christian Living,Phillip Yancey,The Jesus I Never Knew
587,Christian Living,Christian Living,John Eldredge,The Journey of Desire: Searching for the Life We've Only Dreamed of
588,Ministry,Ministry,Gary R Collins,The joy of caring
589,Prayer ,Prayer,Joyce Huggett,The Joy of Listening to God:  Hearing the Many Ways God Speaks to Us
590,Prayer,Prayer,Unknown Christian,The Kneeling Christian
591,Christian Living,Christian Living,James Burns,The laws of revival
592,Compassion/Social Justice,Compassion/Social Justice,Ron Ruthruff,The Least of These: Lessons Learned from Kids on the Street
593,Work/Money,Work/Money,Terry Felber,The Legend of the Monk Merchant
594,Christian Living,Christian Living,Jim Cymbala,The Life God Blesses: The Secret of Enjoying God's Favor
595,Christian Living,Christian Living,John Ortberg,The Life You've Always Wanted: Spiritual Disciplines for Ordinary People
596,Apologetics,"Apologetics, Evangelism",Ravi Zacharias,The Lotus and the Cross: Jesus Talks with Buddha
597,Marriage,Marriage,"Stephen Kendrick, Alex Kendrick",The Love Dare
598,Reference,Reference,Yohanan Aharoni,The Macmillan Bible Atlas
599,Men's,Men's,Patrick Morley,The Man in the Mirror : Solving the 24 Problems Men Face
